"FIPS","Year","Pop"
"02230",1972,2314
"02230",1973,2228
"02230",1974,2320
"02230",1975,2587
"02230",1976,2640
"02230",1977,2588
"02230",1978,2835
"02230",1979,2756
"02231",1980,3453
"02231",1981,3426
"02240",1969,4200
"02240",1970,4200
"02240",1971,4246
"02240",1972,4381
"02240",1973,4610
"02240",1974,4540
"02240",1975,4683
"02240",1976,5183
"02240",1977,5129
"02240",1978,5153
"02240",1979,5461
"02240",1980,5741
"02240",1981,6038
"02250",1969,1377
"02250",1970,1377
"02250",1971,1742
"02250",1972,1801
"02250",1973,1988
"02250",1974,1859
"02250",1975,1807
"02250",1976,1791
"02250",1977,1849
"02250",1978,1801
"02250",1979,1839
"02260",1969,3157
"02260",1970,3157
"02260",1971,3416
"02260",1972,3489
"02260",1973,3419
"02260",1974,3533
"02260",1975,4948
"02260",1976,7337
"02260",1977,7483
"02260",1978,6903
"02260",1979,6376
"02261",1980,8458
"02261",1981,8947
"02270",1969,3917
"02270",1970,3917
"02270",1971,3934
"02270",1972,4074
"02270",1973,4286
"02270",1974,4466
"02270",1975,4661
"02270",1976,4663
"02270",1977,4653
"02270",1978,4651
"02270",1979,4679
"02270",1980,4598
"02270",1981,4569
"02280",1969,5063
"02280",1970,5063
"02280",1971,5674
"02280",1972,5482
"02280",1973,5664
"02280",1974,6077
"02280",1975,6433
"02280",1976,6431
"02280",1977,6228
"02280",1978,6308
"02280",1979,6137
"02280",1980,6239
"02280",1981,6582
"02290",1969,4777
"02290",1970,4777
"02290",1971,4832
"02290",1972,5034
"02290",1973,5191
"02290",1974,5204
"02290",1975,5446
"02290",1976,5686
"02290",1977,5633
"02290",1978,5369
"02290",1979,5214
"02290",1980,7820
"02290",1981,7841
"04001",1969,32946
"04001",1970,32946
"04001",1971,35537
"04001",1972,37044
"04001",1973,39526
"04001",1974,40268
"04001",1975,42912
"04001",1976,44292
"04001",1977,48487
"04001",1978,50680
"04001",1979,52120
"04001",1980,51508
"04001",1981,51203
"04003",1969,62968
"04003",1970,62968
"04003",1971,67153
"04003",1972,70943
"04003",1973,74562
"04003",1974,76170
"04003",1975,76928
"04003",1976,78953
"04003",1977,80688
"04003",1978,83160
"04003",1979,86269
"04003",1980,86220
"04003",1981,88040
"04005",1969,49325
"04005",1970,49325
"04005",1971,53326
"04005",1972,58194
"04005",1973,61655
"04005",1974,64829
"04005",1975,69819
"04005",1976,66400
"04005",1977,68938
"04005",1978,70815
"04005",1979,73357
"04005",1980,75383
"04005",1981,77790
"04007",1969,29593
"04007",1970,29593
"04007",1971,30981
"04007",1972,31216
"04007",1973,32288
"04007",1974,32991
"04007",1975,32530
"04007",1976,33875
"04007",1977,34290
"04007",1978,35634
"04007",1979,36470
"04007",1980,37247
"04007",1981,38018
"04009",1969,16755
"04009",1970,16755
"04009",1971,17457
"04009",1972,17578
"04009",1973,18685
"04009",1974,19961
"04009",1975,19713
"04009",1976,20890
"04009",1977,21038
"04009",1978,20669
"04009",1979,21242
"04009",1980,22908
"04009",1981,23132
"04011",1969,10496
"04011",1970,10496
"04011",1971,11169
"04011",1972,11236
"04011",1973,11614
"04011",1974,12357
"04011",1975,12158
"04011",1976,11921
"04011",1977,11866
"04011",1978,12073
"04011",1979,12222
"04011",1980,11425
"04011",1981,11479
"04013",1969,982260
"04013",1970,982260
"04013",1971,1026420
"04013",1972,1087206
"04013",1973,1156746
"04013",1974,1217408
"04013",1975,1253864
"04013",1976,1280014
"04013",1977,1329829
"04013",1978,1388888
"04013",1979,1456847
"04013",1980,1521597
"04013",1981,1566039
"04015",1969,26438
"04015",1970,26438
"04015",1971,28732
"04015",1972,31088
"04015",1973,34034
"04015",1974,36578
"04015",1975,39390
"04015",1976,42461
"04015",1977,43313
"04015",1978,46021
"04015",1979,51783
"04015",1980,56442
"04015",1981,58605
"04017",1969,48294
"04017",1970,48294
"04017",1971,51228
"04017",1972,52356
"04017",1973,53570
"04017",1974,56517
"04017",1975,58746
"04017",1976,61040
"04017",1977,60805
"04017",1978,62965
"04017",1979,66412
"04017",1980,67144
"04017",1981,66834
"04019",1969,357383
"04019",1970,357383
"04019",1971,380248
"04019",1972,407511
"04019",1973,428555
"04019",1974,443741
"04019",1975,459737
"04019",1976,471601
"04019",1977,483486
"04019",1978,497691
"04019",1979,523342
"04019",1980,535975
"04019",1981,552630
"04021",1969,69620
"04021",1970,69620
"04021",1971,73801
"04021",1972,76764
"04021",1973,80920
"04021",1974,84540
"04021",1975,83814
"04021",1976,86399
"04021",1977,87094
"04021",1978,87591
"04021",1979,89490
"04021",1980,91302
"04021",1981,92955
"04023",1969,14133
"04023",1970,14133
"04023",1971,14796
"04023",1972,15692
"04023",1973,16507
"04023",1974,17357
"04023",1975,17097
"04023",1976,17896
